Date,gross_return,strategy_return,turnover,transaction_cost,cash_weight,strategy_equity,gross_strategy_equity,strategy_drawdown,price,short_sma,long_sma,signal,position,fallback_position,buy_hold_return,buy_hold_equity,buy_hold_drawdown
2020-07-24,-0.0024770997487764124,-0.0024770997487764124,0.0,0.0,0.0,19503.381191924243,19877.03649380232,-0.10539996135490937,89.67242431640625,91.35024604797363,75.39438549041748,1.0,1.0,0.0,-0.0024770997487764124,37066.054656733795,-0.058383980338256314
2020-07-27,0.023700340935465913,0.023700340935465913,0.0,0.0,0.0,19965.617975567202,20348.129035492133,-0.08419763543813963,91.79769134521484,91.66019973754882,75.58153751373291,1.0,1.0,0.0,0.023700340935465913,37944.532789231,-0.036067359641976604
2020-07-28,-0.016427712951688322,-0.016427712951688322,0.0,0.0,0.0,19637.628534561514,20013.855812593152,-0.09924217380363942,90.28966522216797,91.79611396789551,75.77731502532959,1.0,1.0,0.0,-0.016427712951688322,37321.19089648359,-0.05190256836254126
2020-07-29,0.019168618525225556,0.019168618525225556,0.0,0.0,0.0,20014.054744680605,20397.493779883618,-0.08197589064967004,92.02039337158203,91.98201408386231,75.99979053497314,1.0,1.0,0.0,0.019168618525225556,38036.5865676854,-0.033728850370736696
2020-07-30,0.012099859575632754,0.012099859575632754,0.0,0.0,0.0,20256.22199663027,20644.30059031505,-0.07086792783948559,93.13382720947266,92.23193740844727,76.28858478546142,1.0,1.0,0.0,0.012099859575632754,38496.82392389079,-0.022037105148237424
2020-07-31,0.10468880058607866,0.10468880058607866,0.0,0.0,0.0,22376.821581862834,22805.527658053612,0.0,102.88389587402344,92.96936416625977,76.6286030960083,1.0,1.0,0.0,0.10468880058607866,42527.010246856385,0.0
2020-08-03,0.025197627799013356,0.025197627799013356,0.0,0.0,0.0,22940.664403407543,23380.172855741348,0.0,105.47632598876953,93.71852951049804,77.0184687423706,1.0,1.0,0.0,0.025197627799013356,43598.5900224615,0.0
2020-08-04,0.006678195063100523,0.006678195063100523,0.0,0.0,0.0,23093.866635170627,23536.310210680997,0.0,106.18071746826172,94.51695556640625,77.48103996276855,1.0,1.0,0.0,0.006678195063100523,43889.74991110764,0.0
2020-08-05,0.0036244768119491066,0.0036244768119491066,0.0,0.0,0.0,23177.569819288048,23621.617021278453,0.0,106.56556701660156,95.22957077026368,77.87566619873047,1.0,1.0,0.0,0.0036244768119491066,44048.8272919427,0.0
2020-08-06,0.03488934018205647,0.03488934018205647,0.0,0.0,0.0,23986.219937306556,24445.75965318409,0.0,110.2835693359375,96.10823669433594,78.3937984085083,1.0,1.0,0.0,0.03488934018205647,45585.66181195194,0.0
2020-08-07,-0.022735731529271885,-0.022735731529271885,0.0,0.0,0.0,23440.875680409885,23889.96742468019,-0.022735731529271885,107.77619171142578,96.85342559814453,78.86114738464356,1.0,1.0,0.0,-0.022735731529271885,44549.23844341122,-0.022735731529271885
2020-08-10,0.014534871168187413,0.014534871168187413,0.0,0.0,0.0,23781.585788494143,24237.20502341011,-0.00853132128977685,109.34270477294922,97.69836196899413,79.35910442352295,1.0,1.0,0.0,0.014534871168187413,45196.75588482706,-0.008531321289777072
2020-08-11,-0.029740017403297125,-0.029740017403297125,0.0,0.0,0.0,23074.321013266323,23516.390124206613,-0.03801761704944295,106.09085083007812,98.30421524047851,79.82910537719727,1.0,1.0,0.0,-0.029740017403297125,43852.60357823973,-0.038017617049443064
